Hombres		Mujeres
   26439	   27737
   60682	   62084
   12136	   12748
   14320	   13506
   55617	   49698
   10203	   10752
   41686	   38808
   65728	   66783
   279356	   270061
   26078	   25639
   77277	   77988
   35418	   39142
   50688	   53570
   120705	   124502
   225150	   234416
   55686	   57576
   30611	   33831
   16433	   17358
   110540	   104964
   35399	   38563
   119835	   129726
   38346	   40282
   18817	   18252
   37729	   39743
   63652	   65093
   54607	   53900
   36557	   34726
   63 642	   62 448
   16 929	   19 089
   100 613	   93 225
   37 653	   38 152
   24 124	   26 526
